ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
150,0.0,0.25,30,1.4878,0.2006,-0.4081,0.2757,0.859
150,0.0,0.25,31,1.5623,0.2077,-0.4081,0.2766,0.881
150,0.0,0.5,28,1.5701,0.2084,-0.4081,0.2839,0.867
150,0.0,0.5,29,1.5804,0.2094,-0.4081,0.284,0.87
150,0.0,0.5,30,1.5916,0.2105,-0.4081,0.2841,0.873
150,0.0,0.5,31,1.7093,0.2213,-0.4081,0.2853,0.905
150,0.0,0.75,28,1.673,0.218,-0.4081,0.2975,0.869
150,0.0,0.75,29,1.6837,0.219,-0.4081,0.2976,0.872
150,0.0,0.75,30,1.6954,0.22,-0.4081,0.2977,0.875
150,0.0,0.75,31,1.8597,0.2346,-0.4081,0.2993,0.915
150,0.02,0.0,28,1.0873,0.1591,-0.4141,0.2764,0.72
150,0.02,0.0,29,1.0957,0.16,-0.4141,0.2764,0.723
150,0.02,0.0,30,1.1048,0.161,-0.4141,0.2765,0.726
150,0.02,0.0,31,1.1237,0.1631,-0.4141,0.2766,0.733
150,0.02,0.25,28,1.2803,0.1798,-0.4081,0.2791,0.784
150,0.02,0.25,29,1.2894,0.1807,-0.4081,0.2792,0.787
150,0.02,0.25,30,1.2994,0.1818,-0.4081,0.2793,0.791
150,0.02,0.25,31,1.32,0.1839,-0.4081,0.2794,0.797
150,0.02,0.5,28,1.4856,0.2004,-0.4081,0.2874,0.835
150,0.02,0.5,29,1.4956,0.2013,-0.4081,0.2875,0.838
150,0.02,0.5,30,1.5064,0.2024,-0.4081,0.2876,0.841
150,0.02,0.5,31,1.5289,0.2045,-0.4081,0.2876,0.848
150,0.02,0.75,28,1.7037,0.2208,-0.4081,0.3007,0.871
150,0.02,0.75,29,1.7145,0.2218,-0.4081,0.3008,0.874
150,0.02,0.75,30,1.7263,0.2228,-0.4081,0.3009,0.877
150,0.02,0.75,31,1.7507,0.225,-0.4081,0.3009,0.883
150,0.03,0.0,28,1.1367,0.1645,-0.4141,0.2771,0.737
150,0.03,0.0,29,1.1453,0.1654,-0.4141,0.2771,0.74
150,0.03,0.0,30,1.1546,0.1664,-0.4141,0.2772,0.743
150,0.03,0.0,31,1.1739,0.1685,-0.4141,0.2773,0.75
150,0.03,0.25,28,1.3206,0.1839,-0.4081,0.2798,0.797
150,0.03,0.25,29,1.3299,0.1849,-0.4081,0.2799,0.8
150,0.03,0.25,30,1.34,0.1859,-0.4081,0.28,0.803
150,0.03,0.25,31,1.361,0.188,-0.4081,0.28,0.81
150,0.03,0.5,28,1.5148,0.2032,-0.4081,0.2879,0.843
150,0.03,0.5,29,1.5249,0.2042,-0.4081,0.288,0.846
150,0.03,0.5,30,1.5359,0.2052,-0.4081,0.2881,0.849
150,0.03,0.5,31,1.5586,0.2074,-0.4081,0.2881,0.855
150,0.03,0.75,28,1.7195,0.2222,-0.4081,0.301,0.875
150,0.03,0.75,29,1.7304,0.2232,-0.4081,0.3011,0.878
150,0.03,0.75,30,1.7423,0.2243,-0.4081,0.3012,0.881
150,0.03,0.75,31,1.7668,0.2265,-0.4081,0.3012,0.887
150,0.05,0.0,28,1.0387,0.1536,-0.4141,0.278,0.699
150,0.05,0.0,29,1.0469,0.1545,-0.4141,0.2781,0.702
150,0.05,0.0,30,1.0558,0.1555,-0.4141,0.2782,0.705
150,0.05,0.0,31,1.0742,0.1576,-0.4141,0.2783,0.712
150,0.05,0.25,28,1.2416,0.1758,-0.4081,0.2807,0.768
150,0.05,0.25,29,1.2506,0.1767,-0.4081,0.2808,0.771
150,0.05,0.25,30,1.2604,0.1777,-0.4081,0.2809,0.774
150,0.05,0.25,31,1.2806,0.1798,-0.4081,0.2809,0.781
150,0.05,0.5,28,1.4584,0.1977,-0.4081,0.2886,0.824
150,0.05,0.5,29,1.4682,0.1987,-0.4081,0.2887,0.827
150,0.05,0.5,30,1.479,0.1997,-0.4081,0.2888,0.83
150,0.05,0.5,31,1.5012,0.2019,-0.4081,0.2889,0.837
150,0.05,0.75,28,1.6893,0.2195,-0.4081,0.3014,0.866
150,0.05,0.75,29,1.7001,0.2205,-0.4081,0.3015,0.869
150,0.05,0.75,30,1.7118,0.2215,-0.4081,0.3016,0.872
150,0.05,0.75,31,1.7361,0.2237,-0.4081,0.3016,0.878
175,0.0,0.0,28,1.0792,0.1581,-0.4141,0.276,0.717
175,0.0,0.0,29,1.0876,0.1591,-0.4141,0.2761,0.72
175,0.0,0.0,30,1.0966,0.1601,-0.4141,0.2762,0.723
175,0.0,0.0,31,1.1154,0.1622,-0.4141,0.2763,0.73
175,0.0,0.25,28,1.2712,0.1788,-0.4081,0.2789,0.782
175,0.0,0.25,29,1.2803,0.1798,-0.4081,0.2789,0.785
175,0.0,0.25,30,1.2902,0.1808,-0.4081,0.279,0.788
175,0.0,0.25,31,1.3107,0.1829,-0.4081,0.2791,0.795
