sample,resell,crash,crash_buy,sell,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
2011,75,20,0.5,0.5,3.9964,0.1078,-0.3208,0.1758,0.672
2011,75,25,1.0,1.0,3.1044,0.0941,-0.3497,0.1793,0.592
2011,75,25,0.5,0.5,4.4041,0.1134,-0.3486,0.1805,0.687
2011,75,30,1.0,1.0,4.6558,0.1166,-0.3497,0.1841,0.693
2011,75,30,0.5,0.5,5.7345,0.1291,-0.3489,0.1846,0.752
2011,75,35,1.0,1.0,4.0695,0.1089,-0.3608,0.1857,0.651
2011,75,35,0.5,0.5,5.8749,0.1306,-0.3522,0.1866,0.753
2011,75,40,1.0,1.0,5.4509,0.126,-0.3608,0.1895,0.723
2011,75,40,0.5,0.5,6.5453,0.1373,-0.3536,0.1895,0.776
2011,80,10,1.0,1.0,2.4701,0.0824,-0.364,0.1801,0.531
2011,80,10,0.5,0.5,4.3109,0.1122,-0.364,0.1855,0.667
2011,80,15,1.0,1.0,3.1268,0.0944,-0.364,0.1832,0.586
2011,80,15,0.5,0.5,4.5899,0.1158,-0.364,0.1881,0.678
2011,80,20,1.0,1.0,3.8637,0.106,-0.364,0.1853,0.638
2011,80,20,0.5,0.5,5.354,0.1249,-0.364,0.1896,0.718
2011,80,25,1.0,1.0,4.7012,0.1172,-0.364,0.1883,0.684
2011,80,25,0.5,0.5,6.0502,0.1324,-0.364,0.192,0.745
2011,80,30,1.0,1.0,5.9629,0.1315,-0.364,0.1935,0.737
2011,80,30,0.5,0.5,6.8018,0.1397,-0.364,0.1944,0.772
2011,80,35,1.0,1.0,5.5233,0.1268,-0.364,0.1948,0.712
2011,80,35,0.5,0.5,6.8191,0.1399,-0.364,0.1953,0.77
2011,80,40,1.0,1.0,6.4391,0.1363,-0.364,0.196,0.752
2011,80,40,0.5,0.5,7.1294,0.1427,-0.364,0.1963,0.78
2011,85,10,1.0,1.0,3.804,0.1051,-0.364,0.1905,0.621
2011,85,10,0.5,0.5,5.4856,0.1264,-0.364,0.1926,0.716
2011,85,15,1.0,1.0,4.4974,0.1146,-0.364,0.1932,0.66
2011,85,15,0.5,0.5,5.8191,0.13,-0.364,0.1958,0.724
2011,85,20,1.0,1.0,5.2396,0.1236,-0.364,0.1947,0.698
2011,85,20,0.5,0.5,6.6201,0.138,-0.364,0.197,0.757
2011,85,25,1.0,1.0,4.6265,0.1163,-0.364,0.1953,0.663
2011,85,25,0.5,0.5,6.3525,0.1354,-0.364,0.1975,0.744
2011,85,30,1.0,1.0,5.4314,0.1258,-0.364,0.1989,0.697
2011,85,30,0.5,0.5,6.5365,0.1372,-0.364,0.1986,0.749
2011,85,35,1.0,1.0,5.3297,0.1247,-0.364,0.1995,0.69
2011,85,35,0.5,0.5,6.3816,0.1357,-0.364,0.1991,0.74
2011,85,40,1.0,1.0,5.7449,0.1292,-0.364,0.2004,0.708
2011,85,40,0.5,0.5,6.5672,0.1375,-0.364,0.1999,0.746
2011,90,10,1.0,1.0,4.5466,0.1152,-0.364,0.1913,0.667
2011,90,10,0.5,0.5,7.4163,0.1452,-0.364,0.1965,0.79
2011,90,15,1.0,1.0,5.6458,0.1282,-0.364,0.1943,0.72
2011,90,15,0.5,0.5,7.2371,0.1437,-0.364,0.1983,0.778
2011,90,20,1.0,1.0,6.4861,0.1367,-0.364,0.1957,0.755
2011,90,20,0.5,0.5,7.727,0.1479,-0.364,0.1989,0.795
2011,90,25,1.0,1.0,5.7514,0.1293,-0.364,0.1962,0.72
2011,90,25,0.5,0.5,7.5103,0.1461,-0.364,0.1994,0.785
2011,90,30,1.0,1.0,6.4215,0.1361,-0.364,0.1993,0.742
2011,90,30,0.5,0.5,7.5831,0.1467,-0.364,0.2003,0.785
2011,90,35,1.0,1.0,6.2217,0.1341,-0.364,0.1999,0.731
2011,90,35,0.5,0.5,7.4889,0.1459,-0.364,0.2006,0.781
2011,90,40,1.0,1.0,6.7126,0.1389,-0.364,0.2008,0.75
2011,90,40,0.5,0.5,7.4769,0.1458,-0.364,0.2011,0.779
