sample,structure,interval,step,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,bench_return,bench_sharpe
5y,F79,7,0.5,0.75,0.7873,0.1233,-0.364,0.2241,0.633,0.8025,0.633
5y,F79,7,0.5,1.0,0.7912,0.1238,-0.364,0.2241,0.635,0.8025,0.633
5y,F79,10,0.02,0.0,0.3029,0.0544,-0.2641,0.1488,0.432,0.8025,0.633
5y,F79,10,0.02,0.25,0.7905,0.1237,-0.3639,0.2139,0.654,0.8025,0.633
5y,F79,10,0.02,0.5,0.9104,0.1384,-0.364,0.2174,0.707,0.8025,0.633
5y,F79,10,0.02,0.75,0.9753,0.146,-0.364,0.2188,0.735,0.8025,0.633
5y,F79,10,0.02,1.0,1.008,0.1498,-0.364,0.219,0.75,0.8025,0.633
5y,F79,10,0.05,0.0,0.3846,0.0673,-0.335,0.2005,0.426,0.8025,0.633
5y,F79,10,0.05,0.25,0.8013,0.1251,-0.364,0.216,0.656,0.8025,0.633
5y,F79,10,0.05,0.5,0.9094,0.1383,-0.364,0.2183,0.705,0.8025,0.633
5y,F79,10,0.05,0.75,0.9696,0.1454,-0.364,0.2189,0.732,0.8025,0.633
5y,F79,10,0.05,1.0,0.998,0.1487,-0.364,0.2191,0.745,0.8025,0.633
5y,F79,10,0.1,0.0,0.5323,0.0892,-0.3593,0.2121,0.51,0.8025,0.633
5y,F79,10,0.1,0.25,0.823,0.1278,-0.364,0.2178,0.663,0.8025,0.633
5y,F79,10,0.1,0.5,0.9133,0.1387,-0.364,0.2187,0.706,0.8025,0.633
5y,F79,10,0.1,0.75,0.9567,0.1439,-0.364,0.2191,0.725,0.8025,0.633
5y,F79,10,0.1,1.0,0.9811,0.1467,-0.364,0.2193,0.736,0.8025,0.633
5y,F79,10,0.15,0.0,0.682,0.1097,-0.3625,0.2161,0.592,0.8025,0.633
5y,F79,10,0.15,0.25,0.8427,0.1302,-0.364,0.2186,0.672,0.8025,0.633
5y,F79,10,0.15,0.5,0.9102,0.1384,-0.364,0.2193,0.703,0.8025,0.633
5y,F79,10,0.15,0.75,0.9436,0.1423,-0.364,0.2196,0.718,0.8025,0.633
5y,F79,10,0.15,1.0,0.9641,0.1447,-0.364,0.2198,0.727,0.8025,0.633
5y,F79,10,0.2,0.0,0.7324,0.1163,-0.364,0.2182,0.615,0.8025,0.633
5y,F79,10,0.2,0.25,0.8528,0.1314,-0.364,0.2194,0.675,0.8025,0.633
5y,F79,10,0.2,0.5,0.9034,0.1376,-0.364,0.22,0.698,0.8025,0.633
5y,F79,10,0.2,0.75,0.9303,0.1408,-0.364,0.2202,0.711,0.8025,0.633
5y,F79,10,0.2,1.0,0.9469,0.1427,-0.364,0.2204,0.718,0.8025,0.633
5y,F79,10,0.3,0.0,0.794,0.1242,-0.364,0.2207,0.643,0.8025,0.633
5y,F79,10,0.3,0.25,0.8532,0.1315,-0.364,0.2211,0.671,0.8025,0.633
5y,F79,10,0.3,0.5,0.8829,0.1351,-0.364,0.2214,0.685,0.8025,0.633
5y,F79,10,0.3,0.75,0.8978,0.1369,-0.364,0.2216,0.692,0.8025,0.633
5y,F79,10,0.3,1.0,0.9076,0.1381,-0.364,0.2216,0.697,0.8025,0.633
5y,F79,10,0.4,0.0,0.811,0.1263,-0.364,0.222,0.649,0.8025,0.633
5y,F79,10,0.4,0.25,0.8555,0.1318,-0.364,0.2223,0.67,0.8025,0.633
5y,F79,10,0.4,0.5,0.8742,0.134,-0.364,0.2224,0.679,0.8025,0.633
5y,F79,10,0.4,0.75,0.883,0.1351,-0.364,0.2225,0.683,0.8025,0.633
5y,F79,10,0.4,1.0,0.8893,0.1359,-0.364,0.2225,0.686,0.8025,0.633
5y,F79,10,0.5,0.0,0.8265,0.1282,-0.364,0.2231,0.654,0.8025,0.633
5y,F79,10,0.5,0.25,0.8618,0.1325,-0.364,0.2233,0.671,0.8025,0.633
5y,F79,10,0.5,0.5,0.8736,0.134,-0.364,0.2234,0.677,0.8025,0.633
5y,F79,10,0.5,0.75,0.8791,0.1346,-0.364,0.2234,0.679,0.8025,0.633
5y,F79,10,0.5,1.0,0.8832,0.1351,-0.364,0.2234,0.681,0.8025,0.633
5y,F79,14,0.02,0.0,0.211,0.0391,-0.2311,0.1217,0.377,0.8025,0.633
5y,F79,14,0.02,0.25,0.7842,0.1229,-0.3637,0.2135,0.652,0.8025,0.633
5y,F79,14,0.02,0.5,0.9151,0.139,-0.364,0.2171,0.71,0.8025,0.633
5y,F79,14,0.02,0.75,0.9753,0.146,-0.364,0.2187,0.735,0.8025,0.633
5y,F79,14,0.02,1.0,1.0099,0.15,-0.364,0.219,0.75,0.8025,0.633
5y,F79,14,0.05,0.0,0.3708,0.0652,-0.3055,0.1892,0.429,0.8025,0.633
