sample,ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,episodes
2011,100,0.03,0.5,31,4.8372,0.1189,-0.2674,0.1429,0.859,-0.25705718608921435,-0.0783367770938268,0.0693557748113755,23
2011,100,0.03,0.75,28,5.3739,0.1252,-0.3122,0.1618,0.812,-0.3025219229478411,-0.14381440328657635,0.06035983749274521,23
2011,100,0.03,0.75,29,5.3259,0.1246,-0.3122,0.1625,0.806,-0.30252192294784086,-0.1347383939035086,0.059489262913522925,23
2011,100,0.03,0.75,30,5.4732,0.1263,-0.3122,0.1626,0.815,-0.30252192294784086,-0.13473839390350828,0.057457922228670924,23
2011,100,0.03,0.75,31,5.5522,0.1271,-0.3122,0.1627,0.819,-0.30252192294784086,-0.1347383939035085,0.057457922228670924,23
5y,100,0.05,0.0,28,0.7702,0.1211,-0.2093,0.1451,0.864,-0.18020573498025028,-0.012787600061288207,0.004,5
5y,100,0.05,0.0,29,0.7687,0.121,-0.2093,0.1451,0.863,-0.18020573498025028,-0.012787600061288207,0.004,5
5y,100,0.05,0.0,30,0.7707,0.1212,-0.2093,0.1451,0.865,-0.18020573498025028,-0.012787600061288207,0.004,5
5y,100,0.05,0.0,31,0.7849,0.123,-0.2093,0.1452,0.875,-0.18020573498025028,-0.012787600061288207,0.004,5
5y,100,0.05,0.25,28,0.7992,0.1248,-0.2354,0.1499,0.863,-0.22266722524733928,-0.025958096208934633,0.006666666666666667,5
5y,100,0.05,0.25,29,0.7977,0.1246,-0.2354,0.1499,0.862,-0.22266722524733928,-0.025958096208934633,0.006666666666666667,5
5y,100,0.05,0.25,30,0.7998,0.1249,-0.2354,0.1499,0.864,-0.22266722524733928,-0.025958096208934633,0.006666666666666667,5
5y,100,0.05,0.25,31,0.8142,0.1267,-0.2354,0.15,0.874,-0.22266722524733928,-0.025958096208934633,0.006666666666666667,5
5y,100,0.05,0.5,28,0.8253,0.1281,-0.2749,0.1642,0.819,-0.26472565329605824,-0.04065132043016584,0.017333333333333333,5
5y,100,0.05,0.5,29,0.8237,0.1279,-0.2749,0.1642,0.818,-0.26472565329605824,-0.04065132043016584,0.017333333333333333,5
5y,100,0.05,0.5,30,0.8259,0.1281,-0.2749,0.1642,0.82,-0.26472565329605824,-0.04065132043016584,0.017333333333333333,5
5y,100,0.05,0.5,31,0.8405,0.1299,-0.2749,0.1643,0.829,-0.26472565329605824,-0.04065132043016584,0.017333333333333333,5
5y,100,0.05,0.75,28,0.8479,0.1308,-0.316,0.1873,0.753,-0.30633135067185535,-0.05926273432315232,0.028,5
5y,100,0.05,0.75,29,0.8464,0.1307,-0.316,0.1873,0.752,-0.30633135067185535,-0.05926273432315232,0.028,5
5y,100,0.05,0.75,30,0.8485,0.1309,-0.316,0.1873,0.754,-0.30633135067185535,-0.05926273432315232,0.028,5
5y,100,0.05,0.75,31,0.8633,0.1327,-0.316,0.1873,0.762,-0.30633135067185535,-0.05926273432315232,0.028,5
2011,100,0.05,0.0,28,3.6486,0.1028,-0.2825,0.1317,0.811,-0.1802057349802504,-0.2239465843142262,0.14509576320371445,14
2011,100,0.05,0.0,29,3.6136,0.1022,-0.2825,0.1326,0.802,-0.1802057349802504,-0.2239465843142262,0.142774230992455,14
2011,100,0.05,0.0,30,3.7211,0.1039,-0.2825,0.1327,0.813,-0.18020573498025028,-0.2239465843142262,0.14219384793964016,14
2011,100,0.05,0.0,31,3.7787,0.1047,-0.2825,0.1328,0.819,-0.1802057349802504,-0.2239465843142262,0.140742890307603,14
2011,100,0.05,0.25,28,4.3349,0.1125,-0.2354,0.1354,0.857,-0.22266722524733917,-0.1593475389735155,0.10185722576900755,14
2011,100,0.05,0.25,29,4.2948,0.1119,-0.2354,0.1363,0.849,-0.22266722524733917,-0.1593475389735155,0.10214741729541497,14
2011,100,0.05,0.25,30,4.4181,0.1136,-0.2354,0.1364,0.859,-0.22266722524733906,-0.1593475389735155,0.10214741729541497,14
2011,100,0.05,0.25,31,4.4842,0.1144,-0.2354,0.1364,0.865,-0.22266722524733895,-0.1593475389735155,0.09982588508415555,14
2011,100,0.05,0.5,28,5.0096,0.1209,-0.2749,0.1466,0.855,-0.26472565329605835,-0.10411105654042085,0.07515960533952408,14
2011,100,0.05,0.5,29,4.9644,0.1204,-0.2749,0.1474,0.847,-0.26472565329605824,-0.10411105654042085,0.07486941381311665,14
2011,100,0.05,0.5,30,5.1033,0.1221,-0.2749,0.1475,0.857,-0.26472565329605846,-0.10411105654042085,0.07399883923389437,14
2011,100,0.05,0.5,31,5.1778,0.1229,-0.2749,0.1475,0.862,-0.26472565329605824,-0.10411105654042085,0.07312826465467208,14
2011,100,0.05,0.75,28,5.7513,0.1293,-0.316,0.1645,0.823,-0.3063313506718556,-0.14849064653540633,0.08357515960533952,14
2011,100,0.05,0.75,29,5.7005,0.1287,-0.316,0.1653,0.818,-0.3063313506718556,-0.13946420774517143,0.08386535113174695,14
2011,100,0.05,0.75,30,5.8566,0.1304,-0.316,0.1653,0.826,-0.30633135067185524,-0.139464207745171,0.08096343586767267,14
2011,100,0.05,0.75,31,5.9403,0.1313,-0.316,0.1654,0.831,-0.30633135067185535,-0.1394642077451712,0.08096343586767267,14
5y,125,0.0,0.0,28,0.9095,0.1383,-0.1312,0.1315,1.055,-0.10789580304925339,0.08163672515445697,0.0,17
5y,125,0.0,0.0,29,0.9297,0.1407,-0.1312,0.1316,1.07,-0.10789580304925339,0.0939729823923916,0.0,17
5y,125,0.0,0.0,30,0.9319,0.141,-0.1312,0.1317,1.072,-0.10789580304925339,0.0939729823923916,0.0,17
5y,125,0.0,0.0,31,0.9474,0.1428,-0.1312,0.1318,1.084,-0.10789580304925339,0.0939729823923916,0.0,17
5y,125,0.0,0.25,28,0.8967,0.1368,-0.1792,0.1373,1.007,-0.17177977425370394,0.038864927572797914,0.0,17
5y,125,0.0,0.25,29,0.92,0.1395,-0.1792,0.1374,1.024,-0.17177977425370394,0.052542791682345324,0.0,17
5y,125,0.0,0.25,30,0.9223,0.1398,-0.1792,0.1374,1.025,-0.17177977425370394,0.052542791682345324,0.0,17
5y,125,0.0,0.25,31,0.9377,0.1416,-0.1792,0.1375,1.036,-0.17177977425370394,0.052542791682345324,0.0,17
5y,125,0.0,0.5,28,0.8753,0.1342,-0.2398,0.1545,0.896,-0.2329856594366454,-0.00665822571360386,0.0013333333333333333,17
5y,125,0.0,0.5,29,0.9072,0.138,-0.2398,0.1546,0.917,-0.2329856594366454,0.011113310730904935,0.0,17
5y,125,0.0,0.5,30,0.9094,0.1383,-0.2398,0.1546,0.919,-0.2329856594366454,0.011113310730904935,0.0,17
5y,125,0.0,0.5,31,0.9247,0.1401,-0.2398,0.1547,0.929,-0.2329856594366454,0.011113310730904935,0.0,17
5y,125,0.0,0.75,28,0.8501,0.1311,-0.2993,0.1818,0.772,-0.2915301121302316,-0.05652359962681941,0.024,17
5y,125,0.0,0.75,29,0.8903,0.136,-0.2993,0.1819,0.795,-0.2915301121302316,-0.035179825896267336,0.021333333333333333,17
5y,125,0.0,0.75,30,0.8925,0.1363,-0.2993,0.182,0.796,-0.2915301121302316,-0.035179825896267336,0.021333333333333333,17
5y,125,0.0,0.75,31,0.9077,0.1381,-0.2993,0.182,0.805,-0.2915301121302316,-0.035179825896267336,0.021333333333333333,17
