sample,resell,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like,dd_2022,r2_worst,r2_neg,crash_buys
5y,73,41,0.8117,0.1264,-0.2302,0.1578,0.837,-0.22922872952980722,-0.019058027998821725,0.006666666666666667,46
5y,73,42,0.8117,0.1264,-0.2302,0.1578,0.837,-0.22922872952980722,-0.019058027998821725,0.006666666666666667,42
5y,73,43,0.8117,0.1264,-0.2302,0.1578,0.837,-0.22922872952980722,-0.019058027998821725,0.006666666666666667,40
5y,73,44,0.821,0.1275,-0.2302,0.1582,0.841,-0.22922872952980722,-0.014024054283194642,0.004,39
5y,73,45,0.821,0.1275,-0.2302,0.1582,0.841,-0.22922872952980722,-0.014024054283194642,0.004,38
5y,74,15,0.4244,0.0734,-0.1722,0.1184,0.66,-0.15660410896265065,-0.043697145522195835,0.05466666666666667,14
5y,74,16,0.4244,0.0734,-0.1722,0.1184,0.66,-0.15660410896265065,-0.043697145522195835,0.05466666666666667,15
5y,74,17,0.4835,0.0822,-0.1794,0.1237,0.703,-0.15660410896265065,-0.043697145522195835,0.05466666666666667,21
5y,74,18,0.4835,0.0822,-0.1794,0.1237,0.703,-0.15660410896265065,-0.043697145522195835,0.05466666666666667,21
5y,74,19,0.4948,0.0838,-0.1794,0.1238,0.715,-0.15660410896265053,-0.043697145522195946,0.05466666666666667,20
5y,74,20,0.5125,0.0864,-0.1831,0.1263,0.722,-0.15660410896265053,-0.043697145522195946,0.05466666666666667,20
5y,74,21,0.6078,0.0998,-0.2302,0.1441,0.735,-0.20803368001993805,-0.04570845848808036,0.02,24
5y,74,22,0.6078,0.0998,-0.2302,0.1441,0.735,-0.20803368001993805,-0.04570845848808036,0.02,25
5y,74,23,0.6943,0.1114,-0.2302,0.1474,0.793,-0.2024769781537591,-0.007451523543476446,0.004,29
5y,74,24,0.7273,0.1157,-0.2302,0.1478,0.818,-0.2024769781537591,0.0028546974199405994,0.0,31
5y,74,25,0.7239,0.1152,-0.2302,0.1481,0.814,-0.20917063565958482,0.0008577276148553636,0.0,29
