base,resell_level,crash_level,crash_frac,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
A,90,30,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,90,30,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,90,30,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,35,0.25,0.7966,0.1245,-0.364,0.2283,0.63
A,90,35,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,90,35,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,90,35,1.0,0.8006,0.125,-0.364,0.2285,0.632
A,90,40,0.25,0.7966,0.1245,-0.364,0.2283,0.63
A,90,40,0.5,0.7949,0.1243,-0.364,0.2284,0.629
A,90,40,0.75,0.7978,0.1246,-0.364,0.2284,0.63
A,90,40,1.0,0.8006,0.125,-0.364,0.2285,0.632
B,55,10,0.25,0.3198,0.0571,-0.1079,0.0794,0.742
B,55,10,0.5,0.4175,0.0724,-0.132,0.0981,0.764
B,55,10,0.75,0.4363,0.0752,-0.1355,0.1056,0.742
B,55,10,1.0,0.41,0.0712,-0.1357,0.1086,0.69
B,55,15,0.25,0.2516,0.046,-0.1463,0.1086,0.469
B,55,15,0.5,0.2033,0.0378,-0.1833,0.1234,0.363
B,55,15,0.75,0.1787,0.0335,-0.1949,0.129,0.32
B,55,15,1.0,0.1772,0.0332,-0.1999,0.1327,0.313
B,55,20,0.25,0.3103,0.0556,-0.1912,0.1326,0.476
B,55,20,0.5,0.2706,0.0491,-0.2164,0.1459,0.403
B,55,20,0.75,0.266,0.0484,-0.2321,0.1525,0.387
B,55,20,1.0,0.2947,0.0531,-0.2387,0.156,0.411
B,55,25,0.25,0.364,0.0641,-0.2101,0.1471,0.498
B,55,25,0.5,0.3893,0.0681,-0.2314,0.16,0.493
B,55,25,0.75,0.434,0.0748,-0.2387,0.1655,0.52
B,55,25,1.0,0.4678,0.0799,-0.2387,0.1684,0.542
B,55,30,0.25,0.4038,0.0703,-0.2387,0.1592,0.508
B,55,30,0.5,0.487,0.0827,-0.2387,0.1678,0.559
B,55,30,0.75,0.543,0.0907,-0.2387,0.1707,0.596
B,55,30,1.0,0.5968,0.0983,-0.2387,0.1723,0.632
B,55,35,0.25,0.4145,0.0719,-0.2387,0.1644,0.506
B,55,35,0.5,0.4786,0.0815,-0.2387,0.1717,0.544
B,55,35,0.75,0.4734,0.0807,-0.2387,0.1742,0.534
B,55,35,1.0,0.4347,0.075,-0.2387,0.1758,0.5
B,55,40,0.25,0.4382,0.0755,-0.2387,0.1716,0.511
B,55,40,0.5,0.4413,0.0759,-0.2387,0.1794,0.499
B,55,40,0.75,0.4273,0.0738,-0.2387,0.1827,0.483
B,55,40,1.0,0.4225,0.0731,-0.2387,0.1848,0.476
B,60,10,0.25,0.3772,0.0662,-0.1079,0.0836,0.812
B,60,10,0.5,0.4871,0.0827,-0.132,0.1021,0.832
B,60,10,0.75,0.5081,0.0857,-0.1355,0.1094,0.809
B,60,10,1.0,0.4809,0.0818,-0.1357,0.1123,0.759
B,60,15,0.25,0.3177,0.0568,-0.1573,0.1122,0.55
B,60,15,0.5,0.2637,0.048,-0.1938,0.1266,0.435
B,60,15,0.75,0.2353,0.0432,-0.2053,0.1321,0.387
B,60,15,1.0,0.2324,0.0427,-0.2119,0.1357,0.377
B,60,20,0.25,0.3433,0.0609,-0.2086,0.1368,0.502
B,60,20,0.5,0.2846,0.0514,-0.2373,0.1498,0.411
B,60,20,0.75,0.2731,0.0495,-0.2508,0.1562,0.389
B,60,20,1.0,0.299,0.0538,-0.2536,0.1596,0.409
B,60,25,0.25,0.3935,0.0687,-0.2286,0.1511,0.517
B,60,25,0.5,0.4054,0.0705,-0.2492,0.1638,0.499
B,60,25,0.75,0.4449,0.0765,-0.2542,0.1691,0.522
B,60,25,1.0,0.4756,0.081,-0.2536,0.1718,0.541
B,60,30,0.25,0.4319,0.0745,-0.2487,0.1628,0.525
B,60,30,0.5,0.503,0.085,-0.2532,0.1712,0.564
B,60,30,0.75,0.554,0.0923,-0.2543,0.174,0.596
B,60,30,1.0,0.6038,0.0992,-0.2536,0.1756,0.628
B,60,35,0.25,0.4349,0.075,-0.2538,0.1679,0.516
B,60,35,0.5,0.4911,0.0833,-0.2522,0.1751,0.546
B,60,35,0.75,0.4847,0.0824,-0.2484,0.1774,0.536
B,60,35,1.0,0.4463,0.0767,-0.2459,0.179,0.504
B,60,40,0.25,0.3897,0.0681,-0.2461,0.1767,0.463
B,60,40,0.5,0.3659,0.0644,-0.2488,0.1845,0.432
B,60,40,0.75,0.3556,0.0628,-0.239,0.1873,0.42
B,60,40,1.0,0.3525,0.0623,-0.2387,0.1892,0.415
B,65,10,0.25,0.493,0.0836,-0.1313,0.0947,0.898
B,65,10,0.5,0.6181,0.1012,-0.1424,0.1092,0.94
B,65,10,0.75,0.6478,0.1052,-0.1469,0.1153,0.928
B,65,10,1.0,0.6225,0.1018,-0.151,0.1179,0.884
B,65,15,0.25,0.4726,0.0806,-0.1629,0.1188,0.714
B,65,15,0.5,0.4376,0.0754,-0.1832,0.1336,0.613
B,65,15,0.75,0.4185,0.0725,-0.1948,0.1407,0.569
B,65,15,1.0,0.4207,0.0728,-0.1999,0.1455,0.558
B,65,20,0.25,0.3998,0.0697,-0.2698,0.1538,0.516
B,65,20,0.5,0.3736,0.0656,-0.2718,0.1638,0.471
B,65,20,0.75,0.3589,0.0633,-0.2718,0.1688,0.449
B,65,20,1.0,0.3764,0.0661,-0.2718,0.1715,0.46
B,65,25,0.25,0.4458,0.0766,-0.2714,0.1666,0.528
B,65,25,0.5,0.4806,0.0818,-0.2718,0.1769,0.534
B,65,25,0.75,0.5235,0.088,-0.2718,0.1813,0.557
B,65,25,1.0,0.5485,0.0915,-0.2718,0.1835,0.571
B,65,30,0.25,0.4864,0.0826,-0.2718,0.1783,0.536
B,65,30,0.5,0.5625,0.0935,-0.2718,0.1862,0.575
B,65,30,0.75,0.6069,0.0996,-0.2718,0.1898,0.597
B,65,30,1.0,0.6624,0.1071,-0.2718,0.1913,0.63
B,65,35,0.25,0.5178,0.0871,-0.2718,0.1856,0.545
B,65,35,0.5,0.5947,0.098,-0.2718,0.191,0.587
B,65,35,0.75,0.5978,0.0984,-0.2718,0.1925,0.585
B,65,35,1.0,0.5736,0.095,-0.2718,0.1935,0.568
B,65,40,0.25,0.619,0.1013,-0.2718,0.1909,0.603
B,65,40,0.5,0.6158,0.1009,-0.2718,0.1955,0.591
B,65,40,0.75,0.5909,0.0974,-0.2718,0.1973,0.572
B,65,40,1.0,0.569,0.0944,-0.2718,0.1987,0.555
B,70,10,0.25,0.2811,0.0509,-0.2138,0.1394,0.427
B,70,10,0.5,0.3358,0.0597,-0.2138,0.1469,0.469
B,70,10,0.75,0.3518,0.0622,-0.2138,0.1499,0.479
B,70,10,1.0,0.3451,0.0612,-0.2138,0.1511,0.469
B,70,15,0.25,0.2407,0.0441,-0.2138,0.1519,0.361
B,70,15,0.5,0.2073,0.0384,-0.2239,0.1588,0.317
B,70,15,0.75,0.1874,0.035,-0.2284,0.1606,0.295
B,70,15,1.0,0.1812,0.0339,-0.2294,0.161,0.288
B,70,20,0.25,0.1842,0.0344,-0.2924,0.1703,0.284
B,70,20,0.5,0.1821,0.0341,-0.294,0.1767,0.278
B,70,20,0.75,0.1758,0.033,-0.294,0.1803,0.27
B,70,20,1.0,0.187,0.0349,-0.294,0.1821,0.28
B,70,25,0.25,0.2219,0.0409,-0.323,0.1837,0.311
B,70,25,0.5,0.258,0.047,-0.3476,0.1922,0.336
B,70,25,0.75,0.3021,0.0543,-0.3496,0.1961,0.368
B,70,25,1.0,0.3247,0.0579,-0.3497,0.1981,0.384
B,70,30,0.25,0.3027,0.0544,-0.3324,0.1944,0.37
B,70,30,0.5,0.3494,0.0618,-0.3482,0.2008,0.4
B,70,30,0.75,0.3951,0.0689,-0.3497,0.2035,0.431
B,70,30,1.0,0.447,0.0768,-0.3497,0.2044,0.465
B,70,35,0.25,0.3259,0.0581,-0.3456,0.2004,0.383
B,70,35,0.5,0.3835,0.0672,-0.3496,0.2039,0.422
B,70,35,0.75,0.4031,0.0702,-0.3497,0.2049,0.435
B,70,35,1.0,0.4038,0.0703,-0.3497,0.2055,0.434
B,70,40,0.25,0.492,0.0834,-0.349,0.2048,0.495
B,70,40,0.5,0.5193,0.0874,-0.3497,0.2074,0.509
B,70,40,0.75,0.519,0.0873,-0.3497,0.2083,0.507
B,70,40,1.0,0.5147,0.0867,-0.3497,0.2087,0.504
B,75,10,0.25,0.4016,0.0699,-0.2432,0.1713,0.482
B,75,10,0.5,0.4272,0.0738,-0.2432,0.1746,0.497
B,75,10,0.75,0.4341,0.0749,-0.2432,0.1756,0.5
B,75,10,1.0,0.427,0.0738,-0.2432,0.176,0.494
B,75,15,0.25,0.3859,0.0675,-0.2432,0.1759,0.461
B,75,15,0.5,0.3808,0.0668,-0.2432,0.1781,0.453
B,75,15,0.75,0.3719,0.0654,-0.2432,0.1789,0.445
B,75,15,1.0,0.3712,0.0653,-0.2432,0.1791,0.444
B,75,20,0.25,0.3721,0.0654,-0.2924,0.1885,0.431
B,75,20,0.5,0.3911,0.0683,-0.294,0.1925,0.441
B,75,20,0.75,0.3974,0.0693,-0.294,0.1945,0.443
B,75,20,1.0,0.4108,0.0714,-0.294,0.1953,0.452
B,75,25,0.25,0.4236,0.0733,-0.323,0.1995,0.456
B,75,25,0.5,0.4684,0.08,-0.3476,0.205,0.479
B,75,25,0.75,0.5087,0.0858,-0.3496,0.2066,0.503
B,75,25,1.0,0.5335,0.0894,-0.3497,0.2072,0.518
B,75,30,0.25,0.5166,0.087,-0.3324,0.2047,0.511
B,75,30,0.5,0.5616,0.0934,-0.3482,0.2093,0.533
B,75,30,0.75,0.6177,0.1011,-0.3497,0.211,0.564
B,75,30,1.0,0.6703,0.1082,-0.3497,0.2116,0.593
B,75,35,0.25,0.5434,0.0908,-0.3456,0.2089,0.522
B,75,35,0.5,0.5851,0.0966,-0.3502,0.2113,0.544
B,75,35,0.75,0.587,0.0969,-0.3554,0.2119,0.544
B,75,35,1.0,0.5739,0.0951,-0.3608,0.2123,0.536
B,75,40,0.25,0.7743,0.1217,-0.349,0.213,0.648
B,75,40,0.5,0.7933,0.1241,-0.353,0.2149,0.654
B,75,40,0.75,0.7848,0.123,-0.3575,0.2154,0.648
