ma,buffer,cap,crash,total_return,cagr,max_drawdown,annualized_vol,sharpe_like
100,0.03,0.0,30,1.7943,0.0676,-0.4268,0.1693,0.498
100,0.03,0.0,31,1.8088,0.068,-0.4268,0.1694,0.5
100,0.03,0.25,28,1.9264,0.0708,-0.3992,0.1714,0.512
100,0.03,0.25,29,2.1119,0.075,-0.3992,0.1725,0.534
100,0.03,0.25,30,2.13,0.0753,-0.3992,0.1727,0.536
100,0.03,0.25,31,2.1462,0.0757,-0.3992,0.1727,0.538
100,0.03,0.5,28,2.2273,0.0774,-0.402,0.1814,0.53
100,0.03,0.5,29,2.4495,0.082,-0.402,0.1825,0.553
100,0.03,0.5,30,2.4696,0.0824,-0.402,0.1826,0.555
100,0.03,0.5,31,2.4876,0.0828,-0.402,0.1827,0.556
100,0.03,0.75,28,2.5431,0.0839,-0.4051,0.1976,0.534
100,0.03,0.75,29,2.8064,0.0888,-0.4051,0.1987,0.557
100,0.03,0.75,30,2.8286,0.0892,-0.4051,0.1988,0.558
100,0.03,0.75,31,2.8484,0.0896,-0.4051,0.1988,0.56
100,0.05,0.0,28,1.1749,0.0507,-0.4289,0.1712,0.395
100,0.05,0.0,29,1.3433,0.0557,-0.4268,0.1724,0.422
100,0.05,0.0,30,1.3569,0.0561,-0.4268,0.1726,0.424
100,0.05,0.0,31,1.3709,0.0565,-0.4268,0.1726,0.427
100,0.05,0.25,28,1.5292,0.0609,-0.3992,0.1744,0.449
100,0.05,0.25,29,1.7262,0.0659,-0.3992,0.1756,0.477
100,0.05,0.25,30,1.7421,0.0663,-0.3992,0.1757,0.479
100,0.05,0.25,31,1.7715,0.0671,-0.3992,0.1758,0.482
100,0.05,0.5,28,1.9273,0.0708,-0.402,0.1838,0.489
100,0.05,0.5,29,2.1554,0.0759,-0.402,0.1849,0.515
100,0.05,0.5,30,2.1738,0.0763,-0.402,0.185,0.517
100,0.05,0.5,31,2.227,0.0774,-0.402,0.1854,0.523
100,0.05,0.75,28,2.3751,0.0805,-0.4051,0.199,0.515
100,0.05,0.75,29,2.6381,0.0857,-0.4051,0.2,0.539
100,0.05,0.75,30,2.6592,0.0861,-0.4051,0.2002,0.54
100,0.05,0.75,31,2.7427,0.0877,-0.4051,0.2008,0.547
125,0.0,0.0,28,1.606,0.0629,-0.4776,0.1637,0.48
