date,fg,fg_rating,close,fwd_ret_1w,fwd_ret_1m,fwd_ret_3m,fwd_ret_6m,fwd_ret_12m,fg_chg_5d
2021-10-08,25.26666666666667,fear,14579.5400390625,0.021797656430589063,0.09621842038510597,0.024442496169818417,-0.059572526755675925,-0.2769250894657934,6.933333333333341
2021-10-11,25.9,fear,14486.2001953125,0.036973765913666856,0.09666716080612558,0.03152171560905659,-0.0741561085647986,-0.28026740697251673,16.4
2021-10-12,22.7,extreme fear,14465.919921875,0.04584360520841613,0.07996657283531827,0.04752758740201757,-0.07565019129686679,-0.2798868191145919,3.9333333333333336
2021-10-13,24.100000000000005,extreme fear,14571.6396484375,0.03774729902283025,0.07772911301175722,0.042325367280553916,-0.06368876990359928,-0.26918653991234975,4.033333333333342
2021-10-14,31.83333333333333,fear,14823.4296875,0.026462871014478306,0.06999259249108913,-0.0011212059245314654,-0.09932584026870472,-0.3037110934495064,7.233333333333324
2021-10-15,43.63333333333333,fear,14897.33984375,0.012945959049421418,0.06420674936984083,-0.00024097213245133364,-0.10505093584503733,-0.28337542697823304,18.366666666666664
2021-10-18,46.56666666666666,neutral,15021.8095703125,0.01364019359092028,0.06337790242871488,-0.034277440229645295,-0.09334091259108745,-0.282882642054362,20.666666666666664
2021-10-19,53.400000000000006,neutral,15129.08984375,0.0070473583202061985,0.052381238854059875,-0.05213995595715726,-0.1107812531064043,-0.2940414872321456,30.700000000000006
2021-10-20,56.56666666666667,greed,15121.6796875,0.007549436214044913,0.057667553569352714,-0.06399157872983485,-0.12875747516887748,-0.2980383090296165,32.46666666666667
2021-10-21,60.2,greed,15215.7001953125,0.015275006663617141,0.055320506027998206,-0.0950846990191887,-0.15618145243043768,-0.28628195960984737,28.366666666666674
2021-10-22,59.5,greed,15090.2001953125,0.027049969373620142,0.05066596601879381,-0.081845853369371,-0.13819237378873717,-0.2741905203507683,15.866666666666667
2021-10-25,62.96666666666667,greed,15226.7099609375,0.024247520435121572,0.03601760911627916,-0.11081973231275144,-0.17968226449320557,-0.26450821313877737,16.400000000000006
2021-10-26,63.03333333333334,greed,15235.7099609375,0.02716576053880404,0.040006045624078945,-0.11115923367484404,-0.18028567624875436,-0.27991604838217066,9.633333333333333
2021-10-27,58.333333333333336,greed,15235.83984375,0.03778854597314352,0.016790693202576756,-0.1235940774925488,-0.15518078389898404,-0.2916261897894433,1.7666666666666657
2021-10-28,64.4,greed,15448.1201171875,0.03186079920348317,0.0216667114443978,-0.10859248840388458,-0.20154429439514499,-0.2813073622492118,4.200000000000003
2021-10-29,65.43333333333334,greed,15498.3896484375,0.030532216962309233,0.0025357977274731436,-0.08120261486340152,-0.19114051100697138,-0.2910134123687623,5.933333333333337
2021-11-01,66.13333333333334,greed,15595.919921875,0.024778303019206582,-0.0219204842612708,-0.08014403306353535,-0.19442009009016903,-0.3016859753108003,3.1666666666666714
2021-11-02,68.26666666666667,greed,15649.599609375,0.015140350910036071,-0.017142885669374275,-0.07872724129947917,-0.1715532233939192,-0.327471624361396,5.233333333333327
2021-11-03,72.2,greed,15811.580078125,-0.011945050162873838,-0.0459226938721361,-0.12223697796648003,-0.22097030348480007,-0.3458629448427645,13.866666666666667
